Ax;Ay;Bx;By;Mx;My;Nx;Ny;Vp;vp_raw;varvp;varvp_raw;tensao;corrente;step;potencia;resistencia corrente;resistividade
4.0;0.0;31.0;0.0;16.0;0.0;19.0;0.0;52.08;2912773.0;0.0;15.0;28.75;11.14;111.0;128.0;2581.0;881.225
4.0;0.0;32.0;0.0;16.0;0.0;20.0;0.0;69.45;3884195.0;0.0;8.0;28.23;11.3;112.0;128.0;2498.0;926.798
0.0;0.0;36.0;0.0;16.0;0.0;20.0;0.0;69.02;3859852.0;0.0;1.0;28.87;11.15;113.0;128.0;2589.0;1555.75
16.0;0.0;19.0;0.0;17.0;0.0;18.0;0.0;17.21;962199.0;0.0;8.0;28.4;11.33;114.0;128.0;2507.0;9.544
15.0;0.0;20.0;0.0;17.0;0.0;18.0;0.0;17.15;959270.0;0.0;0.0;28.49;11.65;115.0;128.0;2445.0;27.748
14.0;0.0;21.0;0.0;17.0;0.0;18.0;0.0;17.16;959465.0;0.0;1.0;28.41;11.69;116.0;128.0;2430.0;55.339
13.0;0.0;22.0;0.0;17.0;0.0;18.0;0.0;17.16;959488.0;0.0;2.0;28.64;11.52;117.0;128.0;2486.0;93.593
13.0;0.0;23.0;0.0;17.0;0.0;19.0;0.0;34.68;1939205.0;0.0;24.0;28.58;11.41;118.0;128.0;2505.0;114.584
11.0;0.0;25.0;0.0;17.0;0.0;19.0;0.0;34.74;1942587.0;0.0;38.0;28.5;11.55;119.0;128.0;2468.0;226.782
9.0;0.0;27.0;0.0;17.0;0.0;19.0;0.0;34.51;1929751.0;0.0;16.0;28.66;11.49;120.0;128.0;2494.0;377.429
8.0;0.0;29.0;0.0;17.0;0.0;20.0;0.0;51.88;2901213.0;0.0;8.0;28.38;11.52;121.0;128.0;2464.0;509.331
5.0;0.0;32.0;0.0;17.0;0.0;20.0;0.0;51.75;2894271.0;0.0;36.0;28.69;11.41;122.0;128.0;2514.0;854.921
5.0;0.0;33.0;0.0;17.0;0.0;21.0;0.0;69.06;3862021.0;0.0;38.0;28.2;11.51;123.0;128.0;2450.0;904.779
1.0;0.0;37.0;0.0;17.0;0.0;21.0;0.0;68.93;3855104.0;0.0;34.0;28.93;11.43;124.0;128.0;2531.0;1515.66
17.0;0.0;20.0;0.0;18.0;0.0;19.0;0.0;16.99;950013.0;0.0;0.0;28.5;11.33;125.0;128.0;2515.0;9.422
16.0;0.0;21.0;0.0;18.0;0.0;19.0;0.0;17.15;959216.0;0.0;0.0;28.02;11.4;126.0;128.0;2458.0;28.357
15.0;0.0;22.0;0.0;18.0;0.0;19.0;0.0;17.06;954060.0;0.0;1.0;28.41;11.4;127.0;128.0;2492.0;56.416
14.0;0.0;23.0;0.0;18.0;0.0;19.0;0.0;17.3;967650.0;0.0;0.0;28.32;11.47;128.0;128.0;2469.0;94.768
14.0;0.0;24.0;0.0;18.0;0.0;20.0;0.0;34.46;1926952.0;0.0;13.0;28.38;11.47;129.0;128.0;2474.0;113.262
12.0;0.0;26.0;0.0;18.0;0.0;20.0;0.0;34.5;1929480.0;0.0;2.0;28.5;11.49;130.0;128.0;2480.0;226.392
10.0;0.0;28.0;0.0;18.0;0.0;20.0;0.0;34.6;1934910.0;0.0;24.0;28.4;11.62;131.0;128.0;2444.0;374.179
