Ax;Ay;Bx;By;Mx;My;Nx;Ny;Vp;vp_raw;varvp;varvp_raw;tensao;corrente;step;potencia;resistencia corrente;resistividade
202.5;0.0;195.0;0.0;200.0;0.0;197.5;0.0;415.6;23241812.0;0.04;8549.0;76.86;32.15;93.0;3.0;2391.0;203.055
205.0;0.0;192.5;0.0;200.0;0.0;197.5;0.0;91.83;5135248.0;0.0;236.0;72.01;33.64;94.0;3.0;2141.0;128.638
207.5;0.0;190.0;0.0;200.0;0.0;197.5;0.0;55.87;3124419.0;0.0;122.0;83.74;37.76;95.0;4.0;2218.0;139.45
210.0;0.0;187.5;0.0;200.0;0.0;197.5;0.0;48.14;2692063.0;0.0;13.0;69.37;46.85;96.0;4.0;1481.0;161.405
210.0;0.0;185.0;0.0;200.0;0.0;195.0;0.0;84.07;4701566.0;0.0;85.0;70.33;45.83;97.0;4.0;1535.0;172.887
215.0;0.0;180.0;0.0;200.0;0.0;195.0;0.0;44.91;2511697.0;0.0;18.0;82.2;39.95;98.0;4.0;2058.0;211.898
220.0;0.0;175.0;0.0;200.0;0.0;195.0;0.0;26.83;1500652.0;0.0;29.0;99.95;31.61;99.0;4.0;3162.0;266.653
222.5;0.0;170.0;0.0;200.0;0.0;192.5;0.0;37.17;2078939.0;0.0;34.0;113.39;36.13;100.0;5.0;3138.0;290.882
230.0;0.0;162.5;0.0;200.0;0.0;192.5;0.0;25.82;1444159.0;0.0;0.0;118.21;33.64;101.0;5.0;3514.0;361.694
230.0;0.0;160.0;0.0;200.0;0.0;190.0;0.0;32.06;1793107.0;0.0;7.0;120.57;33.87;102.0;5.0;3560.0;356.845
200.0;0.0;192.5;0.0;197.5;0.0;195.0;0.0;474.57;26540120.0;0.01;2247.0;65.31;39.72;103.0;3.0;1644.0;187.677
202.5;0.0;190.0;0.0;197.5;0.0;195.0;0.0;100.74;5633532.0;0.0;204.0;76.32;32.24;104.0;3.0;2367.0;147.248
205.0;0.0;187.5;0.0;197.5;0.0;195.0;0.0;65.99;3690378.0;0.0;45.0;80.18;40.7;105.0;4.0;1970.0;152.811
207.5;0.0;185.0;0.0;197.5;0.0;195.0;0.0;41.46;2318871.0;0.0;24.0;81.34;38.67;106.0;4.0;2103.0;168.413
207.5;0.0;182.5;0.0;197.5;0.0;192.5;0.0;70.51;3943047.0;0.0;36.0;85.3;38.08;107.0;4.0;2240.0;174.512
212.5;0.0;177.5;0.0;197.5;0.0;192.5;0.0;42.62;2383228.0;0.0;25.0;87.83;37.58;108.0;4.0;2337.0;213.775
217.5;0.0;172.5;0.0;197.5;0.0;192.5;0.0;24.33;1360906.0;0.0;41.0;105.68;30.03;109.0;4.0;3519.0;254.529
220.0;0.0;167.5;0.0;197.5;0.0;190.0;0.0;39.23;2194014.0;0.0;2.0;111.74;36.63;110.0;5.0;3051.0;302.812
227.5;0.0;160.0;0.0;197.5;0.0;190.0;0.0;35.66;1994504.0;0.0;6.0;87.52;47.62;111.0;5.0;1838.0;352.885
227.5;0.0;157.5;0.0;197.5;0.0;187.5;0.0;46.39;2594460.0;0.0;34.0;88.3;47.59;112.0;5.0;1855.0;367.485
237.5;0.0;147.5;0.0;197.5;0.0;187.5;0.0;27.43;1533954.0;0.0;2.0;137.21;38.32;113.0;6.0;3581.0;449.759
197.5;0.0;190.0;0.0;195.0;0.0;192.5;0.0;478.71;26771535.0;0.01;2653.0;58.93;39.71;114.0;3.0;1484.0;189.362
200.0;0.0;187.5;0.0;195.0;0.0;192.5;0.0;133.18;7447806.0;0.0;159.0;59.71;40.99;115.0;3.0;1457.0;153.11
202.5;0.0;185.0;0.0;195.0;0.0;192.5;0.0;71.62;4005241.0;0.0;25.0;85.63;35.97;116.0;4.0;2381.0;187.657
205.0;0.0;182.5;0.0;195.0;0.0;192.5;0.0;44.09;2465614.0;0.0;12.0;85.34;37.76;117.0;4.0;2260.0;183.412
205.0;0.0;180.0;0.0;195.0;0.0;190.0;0.0;68.99;3858205.0;0.0;24.0;87.01;36.89;118.0;4.0;2359.0;176.258
210.0;0.0;175.0;0.0;195.0;0.0;190.0;0.0;53.16;2972961.0;0.0;0.0;74.49;44.8;119.0;4.0;1663.0;223.67
215.0;0.0;170.0;0.0;195.0;0.0;190.0;0.0;30.03;1679610.0;0.0;10.0;92.1;34.9;120.0;4.0;2639.0;270.321
217.5;0.0;165.0;0.0;195.0;0.0;187.5;0.0;44.55;2491460.0;0.0;1.0;109.13;36.81;121.0;5.0;2965.0;342.195
225.0;0.0;157.5;0.0;195.0;0.0;187.5;0.0;32.3;1806499.0;0.0;0.0;102.95;41.63;122.0;5.0;2473.0;365.626
225.0;0.0;155.0;0.0;195.0;0.0;185.0;0.0;39.12;2187785.0;0.0;11.0;104.9;40.17;123.0;5.0;2611.0;367.137
235.0;0.0;145.0;0.0;195.0;0.0;185.0;0.0;28.11;1571979.0;0.0;0.0;135.5;40.06;124.0;6.0;3382.0;440.89
195.0;0.0;187.5;0.0;192.5;0.0;190.0;0.0;432.37;24179968.0;0.0;164.0;65.43;37.67;125.0;3.0;1737.0;180.293
197.5;0.0;185.0;0.0;192.5;0.0;190.0;0.0;119.71;6694731.0;0.0;2.0;59.52;41.07;126.0;3.0;1449.0;137.356
200.0;0.0;182.5;0.0;192.5;0.0;190.0;0.0;73.43;4106316.0;0.0;0.0;74.77;44.91;127.0;4.0;1665.0;154.1
202.5;0.0;180.0;0.0;192.5;0.0;190.0;0.0;36.99;2068374.0;0.0;6.0;90.65;35.45;128.0;4.0;2557.0;163.903
202.5;0.0;177.5;0.0;192.5;0.0;187.5;0.0;66.66;3727654.0;0.0;29.0;90.59;34.94;129.0;4.0;2593.0;179.81
207.5;0.0;172.5;0.0;192.5;0.0;187.5;0.0;36.43;2037425.0;0.0;0.0;102.74;32.28;130.0;4.0;3183.0;212.729
212.5;0.0;167.5;0.0;192.5;0.0;187.5;0.0;34.45;1926354.0;0.0;7.0;79.64;40.02;131.0;4.0;1990.0;270.434
215.0;0.0;162.5;0.0;192.5;0.0;185.0;0.0;45.91;2567349.0;0.0;0.0;93.7;44.27;132.0;5.0;2117.0;293.218
222.5;0.0;155.0;0.0;192.5;0.0;185.0;0.0;28.07;1569683.0;0.0;0.0;109.74;37.36;133.0;5.0;2937.0;354.06
222.5;0.0;152.5;0.0;192.5;0.0;182.5;0.0;36.19;2023781.0;0.0;15.0;109.41;37.86;134.0;5.0;2890.0;360.362
232.5;0.0;142.5;0.0;192.5;0.0;182.5;0.0;24.4;1364403.0;0.0;3.0;143.72;36.9;135.0;6.0;3895.0;415.473
192.5;0.0;185.0;0.0;190.0;0.0;187.5;0.0;442.33;24737092.0;0.0;18.0;69.47;36.33;136.0;3.0;1912.0;191.25
195.0;0.0;182.5;0.0;190.0;0.0;187.5;0.0;114.52;6404435.0;0.0;408.0;69.06;36.02;137.0;3.0;1917.0;149.823
197.5;0.0;180.0;0.0;190.0;0.0;187.5;0.0;75.22;4206884.0;0.0;51.0;71.84;46.33;138.0;4.0;1551.0;153.018
200.0;0.0;177.5;0.0;190.0;0.0;187.5;0.0;49.77;2783138.0;0.0;55.0;75.85;44.62;139.0;4.0;1700.0;175.21
200.0;0.0;175.0;0.0;190.0;0.0;185.0;0.0;90.68;5071229.0;0.0;162.0;66.42;47.82;140.0;4.0;1389.0;178.72
205.0;0.0;170.0;0.0;190.0;0.0;185.0;0.0;38.2;2136039.0;0.0;12.0;92.9;35.79;141.0;4.0;2596.0;201.188
210.0;0.0;165.0;0.0;190.0;0.0;185.0;0.0;38.35;2144670.0;0.0;15.0;70.86;46.91;142.0;4.0;1511.0;256.832
212.5;0.0;160.0;0.0;190.0;0.0;182.5;0.0;42.46;2374632.0;0.0;24.0;96.34;42.6;143.0;5.0;2262.0;281.814
220.0;0.0;152.5;0.0;190.0;0.0;182.5;0.0;25.56;1429210.0;0.0;0.0;117.22;34.43;144.0;5.0;3405.0;349.836
220.0;0.0;150.0;0.0;190.0;0.0;180.0;0.0;31.79;1777657.0;0.0;7.0;117.11;35.11;145.0;5.0;3336.0;341.343
230.0;0.0;140.0;0.0;190.0;0.0;180.0;0.0;23.46;1312216.0;0.0;20.0;138.47;37.8;146.0;6.0;3663.0;389.956
190.0;0.0;182.5;0.0;187.5;0.0;185.0;0.0;303.55;16975828.0;0.01;3289.0;65.49;37.04;147.0;3.0;1768.0;128.73
192.5;0.0;180.0;0.0;187.5;0.0;185.0;0.0;97.32;5442608.0;0.0;77.0;69.95;35.33;148.0;3.0;1980.0;129.807
195.0;0.0;177.5;0.0;187.5;0.0;185.0;0.0;60.99;3410962.0;0.0;0.0;76.51;40.47;149.0;4.0;1891.0;142.035
197.5;0.0;175.0;0.0;187.5;0.0;185.0;0.0;49.48;2766874.0;0.0;2.0;64.54;49.12;150.0;4.0;1314.0;158.231
197.5;0.0;172.5;0.0;187.5;0.0;182.5;0.0;69.71;3898609.0;0.0;0.0;81.76;38.95;151.0;4.0;2099.0;168.678
202.5;0.0;167.5;0.0;187.5;0.0;182.5;0.0;44.15;2469090.0;0.0;5.0;84.95;38.59;152.0;4.0;2201.0;215.654
207.5;0.0;162.5;0.0;187.5;0.0;182.5;0.0;28.86;1614156.0;0.0;6.0;84.29;36.23;153.0;4.0;2327.0;250.252
210.0;0.0;157.5;0.0;187.5;0.0;180.0;0.0;47.72;2668474.0;0.0;3.0;89.8;48.27;154.0;5.0;1860.0;279.522
217.5;0.0;150.0;0.0;187.5;0.0;180.0;0.0;25.57;1430073.0;0.0;8.0;113.01;35.89;155.0;5.0;3149.0;335.736
217.5;0.0;147.5;0.0;187.5;0.0;177.5;0.0;31.01;1734291.0;0.0;12.0;114.7;35.67;156.0;5.0;3216.0;327.74
227.5;0.0;137.5;0.0;187.5;0.0;177.5;0.0;31.01;1734352.0;0.0;3.0;106.26;50.0;157.0;6.0;2125.0;389.683
237.5;0.0;125.0;0.0;187.5;0.0;175.0;0.0;23.18;1296398.0;0.0;2.0;131.39;38.32;158.0;6.0;3429.0;475.092
187.5;0.0;180.0;0.0;185.0;0.0;182.5;0.0;361.19;20199241.0;0.0;207.0;60.71;37.86;159.0;3.0;1604.0;149.856
190.0;0.0;177.5;0.0;185.0;0.0;182.5;0.0;110.5;6179436.0;0.0;159.0;72.05;33.17;160.0;3.0;2172.0;156.985
192.5;0.0;175.0;0.0;185.0;0.0;182.5;0.0;74.95;4191382.0;0.0;0.0;78.32;41.48;161.0;4.0;1888.0;170.296
195.0;0.0;172.5;0.0;185.0;0.0;182.5;0.0;38.0;2124967.0;0.0;21.0;97.18;33.08;162.0;4.0;2938.0;180.442
195.0;0.0;170.0;0.0;185.0;0.0;180.0;0.0;66.65;3727528.0;0.0;2.0;88.42;35.94;163.0;4.0;2460.0;174.781
200.0;0.0;165.0;0.0;185.0;0.0;180.0;0.0;55.74;3117296.0;0.0;15.0;69.17;47.61;164.0;4.0;1453.0;220.684
205.0;0.0;160.0;0.0;185.0;0.0;180.0;0.0;29.9;1672112.0;0.0;10.0;87.17;37.52;165.0;4.0;2323.0;250.356
207.5;0.0;155.0;0.0;185.0;0.0;177.5;0.0;37.91;2119809.0;0.0;24.0;104.63;40.55;166.0;5.0;2580.0;264.335
215.0;0.0;147.5;0.0;185.0;0.0;177.5;0.0;29.1;1627179.0;0.0;36.0;98.21;42.63;167.0;5.0;2304.0;321.676
215.0;0.0;145.0;0.0;185.0;0.0;175.0;0.0;35.83;2003712.0;0.0;2.0;99.87;41.05;168.0;5.0;2433.0;329.052
225.0;0.0;135.0;0.0;185.0;0.0;175.0;0.0;30.99;1733053.0;0.0;2.0;106.63;50.77;169.0;6.0;2100.0;383.526
235.0;0.0;122.5;0.0;185.0;0.0;172.5;0.0;22.28;1245832.0;0.0;38.0;128.22;42.04;170.0;6.0;3050.0;416.239
185.0;0.0;177.5;0.0;182.5;0.0;180.0;0.0;279.08;15607516.0;0.0;498.0;67.43;36.81;171.0;3.0;1832.0;119.092
187.5;0.0;175.0;0.0;182.5;0.0;180.0;0.0;124.14;6942309.0;0.0;197.0;59.52;41.95;172.0;3.0;1419.0;139.451
190.0;0.0;172.5;0.0;182.5;0.0;180.0;0.0;55.05;3078832.0;0.0;22.0;92.18;36.14;173.0;4.0;2551.0;143.562
192.5;0.0;170.0;0.0;182.5;0.0;180.0;0.0;37.03;2070883.0;0.0;45.0;88.33;37.26;174.0;4.0;2371.0;156.11
192.5;0.0;167.5;0.0;182.5;0.0;177.5;0.0;81.53;4559546.0;0.0;46.0;72.59;43.78;175.0;4.0;1658.0;175.514
197.5;0.0;162.5;0.0;182.5;0.0;177.5;0.0;48.0;2684448.0;0.0;92.0;69.6;48.21;176.0;4.0;1444.0;187.674
202.5;0.0;157.5;0.0;182.5;0.0;177.5;0.0;26.6;1487652.0;0.0;0.0;84.99;37.9;177.0;4.0;2242.0;220.492
205.0;0.0;152.5;0.0;182.5;0.0;175.0;0.0;37.09;2074234.0;0.0;13.0;95.38;43.43;178.0;5.0;2196.0;241.468
212.5;0.0;145.0;0.0;182.5;0.0;175.0;0.0;24.96;1396092.0;0.0;3.0;99.44;39.91;179.0;5.0;2492.0;294.716
212.5;0.0;142.5;0.0;182.5;0.0;172.5;0.0;30.72;1718139.0;0.0;1.0;101.18;38.95;180.0;5.0;2598.0;297.334
222.5;0.0;132.5;0.0;182.5;0.0;172.5;0.0;22.54;1260561.0;0.0;11.0;125.02;39.63;181.0;6.0;3155.0;357.363
